ID,Tipo,Lado,Arbitro,Parcial,Categ.,Nombre,X,Y,X,Y_1,Estilo,Directorio,Descripción
26,1,2,2,6,1,plato01_capa1,1265,557,168,111,2,eurobot2023/capa1,"Pastel de 1 capa, sin importar el color"
27,1,2,2,6,2,plato01_capa2,1433,557,167,111,2,eurobot2023/capa2,"Pastel de 2 capas, sin importar el color"
28,1,2,2,6,3,plato01_capa3,1265,445,168,112,2,eurobot2023/capa3,"Pastel de 3 capas, sin importar el color"
29,1,2,2,6,4,plato01_receta,1433,445,167,112,2,eurobot2023/receta,Pastel con la receta original
30,1,2,2,6,5,plato01_ginda,1265,333,335,112,2,eurobot2023/guinda,Guinda colocada encima del pastel
31,1,2,1,7,1,plato02_capa1,1938,557,168,111,2,eurobot2023/capa1,"Pastel de 1 capa, sin importar el color"
32,1,2,1,7,2,plato02_capa2,2106,557,167,111,2,eurobot2023/capa2,"Pastel de 2 capas, sin importar el color"
33,1,2,1,7,3,plato02_capa3,1938,445,168,112,2,eurobot2023/capa3,"Pastel de 3 capas, sin importar el color"
34,1,2,1,7,4,plato02_receta,2106,445,167,112,2,eurobot2023/receta,Pastel con la receta original
35,1,2,1,7,5,plato02_ginda,1938,333,335,112,2,eurobot2023/guinda,Guinda colocada encima del pastel
36,1,2,2,8,1,plato03_capa1,2499,557,168,111,2,eurobot2023/capa1,"Pastel de 1 capa, sin importar el color"
37,1,2,2,8,2,plato03_capa2,2667,557,167,111,2,eurobot2023/capa2,"Pastel de 2 capas, sin importar el color"
38,1,2,2,8,3,plato03_capa3,2499,445,168,112,2,eurobot2023/capa3,"Pastel de 3 capas, sin importar el color"
39,1,2,2,8,4,plato03_receta,2667,445,167,112,2,eurobot2023/receta,Pastel con la receta original
40,1,2,2,8,5,plato03_ginda,2499,333,335,112,2,eurobot2023/guinda,Guinda colocada encima del pastel
41,1,2,1,9,1,plato04_capa1,3172,557,168,111,2,eurobot2023/capa1,"Pastel de 1 capa, sin importar el color"
42,1,2,1,9,2,plato04_capa2,3340,557,167,111,2,eurobot2023/capa2,"Pastel de 2 capas, sin importar el color"
43,1,2,1,9,3,plato04_capa3,3172,445,168,112,2,eurobot2023/capa3,"Pastel de 3 capas, sin importar el color"
44,1,2,1,9,4,plato04_receta,3340,445,167,112,2,eurobot2023/receta,Pastel con la receta original
45,1,2,1,9,5,plato04_ginda,3172,333,335,112,2,eurobot2023/guinda,Guinda colocada encima del pastel
46,1,2,2,10,1,plato05_capa1,3172,931,168,111,2,eurobot2023/capa1,"Pastel de 1 capa, sin importar el color"
47,1,2,2,10,2,plato05_capa2,3340,931,167,111,2,eurobot2023/capa2,"Pastel de 2 capas, sin importar el color"
48,1,2,2,10,3,plato05_capa3,3172,819,168,112,2,eurobot2023/capa3,"Pastel de 3 capas, sin importar el color"
49,1,2,2,10,4,plato05_receta,3340,819,167,112,2,eurobot2023/receta,Pastel con la receta original
50,1,2,2,10,5,plato05_ginda,3172,707,335,112,2,eurobot2023/guinda,Guinda colocada encima del pastel54,3,2,2,12,6,colocar_cesta,1057,333,180,112,2,eurobot2023/cesta,Cesta colocada en su posición
54,3,2,2,12,6,colocar_cesta,1057,333,180,112,2,eurobot2023/cesta,Cesta colocada en su posición
55,2,2,2,12,7,guindas_cesta,1057,445,180,112,2,eurobot2023/guindas,Número de guindas introducidas dentro de la cesta
56,3,2,2,12,8,contador_cesta,1057,557,180,111,2,eurobot2023/contador,El contador de guindas coincide con las guindas en la cesta
59,3,2,2,14,9,disfraz,1938,757,336,100,1,eurobot2023/disfraz,El robot se ha disfrazado antes de terminar el partido
60,3,2,2,16,10,vuelta_plato,2499,757,336,100,2,eurobot2023/vuelta,El robot telecontrolado / los dos robots autónomos ha(n) terminado en algún plato de su color
62,2,2,2,18,11,estimacion_puntos,1057,757,180,112,2,eurobot2023/estimacion,"Estimación de puntos (antes del comienzo, o automático)"
64,2,2,2,20,12,penalizaciones,100,200,20,20,2,eurobot2023/estimacion,Penalizaciones (ver lista de penalizaciones en normativa)
